City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Butaritari,KI,2022-04-21 16:53:58,3.0707,172.7902,80.82,82,92,13.02
92,East London,ZA,2022-04-21 16:51:44,-33.0153,27.9116,74.34,78,0,5.75
93,Mugur-Aksy,RU,2022-04-21 16:53:58,50.35,90.5,35.76,56,100,8.9
94,Stokmarknes,NO,2022-04-21 16:53:59,68.5646,14.9108,42.78,87,75,8.05
95,Heishan,CN,2022-04-21 16:53:59,41.6892,122.1128,49.19,62,68,14.29
96,Tiznit,MA,2022-04-21 16:53:59,29.5833,-9.5,59.41,56,0,11.56
97,Sorland,NO,2022-04-21 16:54:00,67.667,12.6934,44.46,77,24,10.56
98,Harer,ET,2022-04-21 16:54:00,9.3094,42.1258,66.2,63,95,3.4
99,Hasaki,JP,2022-04-21 16:54:01,35.7333,140.8333,63.28,95,100,28.57
100,Kavieng,PG,2022-04-21 16:54:01,-2.5744,150.7967,82.72,74,47,14.16
101,Inuvik,CA,2022-04-21 16:54:02,68.3499,-133.7218,0.61,85,20,4.61
102,Turbat,PK,2022-04-21 16:54:02,26.0023,63.044,84.45,39,9,7.63
103,Kalmunai,LK,2022-04-21 16:54:03,7.4167,81.8167,81.45,80,15,9.57
104,Shizunai,JP,2022-04-21 16:49:41,42.3339,142.3669,47.77,84,100,12.77
105,Tambura,SS,2022-04-21 16:54:04,5.6,27.4667,72.41,92,100,5.01
106,Tuktoyaktuk,CA,2022-04-21 16:54:05,69.4541,-133.0374,-5.8,77,20,0.0
107,Cherskiy,RU,2022-04-21 16:54:06,68.75,161.3,11.25,99,100,4.45
108,Danville,US,2022-04-21 16:54:06,36.586,-79.395,66.87,54,99,5.01
109,Teya,RU,2022-04-21 16:54:06,60.3778,92.6267,31.66,99,100,2.62
110,Talnakh,RU,2022-04-21 16:49:23,69.4865,88.3972,9.05,78,87,2.53
111,San Juan Del Sur,NI,2022-04-21 16:54:07,11.2529,-85.8705,88.02,58,40,6.91
112,Anadyr,RU,2022-04-21 16:54:08,64.75,177.4833,28.9,92,75,2.24
113,Peleduy,RU,2022-04-21 16:54:08,59.6289,112.7406,14.59,97,99,1.97
114,Stykkisholmur,IS,2022-04-21 16:54:08,65.0757,-22.7297,48.56,78,84,3.29
115,Tasiilaq,GL,2022-04-21 16:54:09,65.6145,-37.6368,33.03,98,100,15.19
116,Bundaberg,AU,2022-04-21 16:54:09,-24.85,152.35,70.21,88,100,8.05
117,Alblasserdam,NL,2022-04-21 16:54:10,51.8599,4.6632,64.04,50,44,16.11
118,Ingeldorf,LU,2022-04-21 16:54:10,49.8519,6.1347,60.75,56,93,10.8
119,Mindelo,CV,2022-04-21 16:54:10,16.8901,-24.9804,76.55,61,75,19.57
120,Vestmannaeyjar,IS,2022-04-21 16:54:11,63.4427,-20.2734,47.39,93,75,20.71
121,Atar,MR,2022-04-21 16:54:11,20.5169,-13.0499,93.04,8,21,17.02
122,Mugumu,TZ,2022-04-21 16:54:12,-1.85,34.7,63.03,96,98,4.34
123,Sakakah,SA,2022-04-21 16:54:13,29.9697,40.2064,83.77,18,0,10.92
124,Ibra,OM,2022-04-21 16:54:13,22.6906,58.5334,85.14,22,0,8.5
125,Agadez,NE,2022-04-21 16:54:14,19.75,10.25,97.59,10,4,0.63
126,Coachella,US,2022-04-21 16:53:00,33.6803,-116.1739,80.87,24,0,11.01
127,Maudaha,IN,2022-04-21 16:54:15,25.6833,80.1167,96.66,16,88,15.12
128,Richards Bay,ZA,2022-04-21 16:54:15,-28.783,32.0377,69.22,77,5,11.43
129,Alofi,NU,2022-04-21 16:50:31,-19.0595,-169.9187,73.29,100,100,2.3
130,Hambantota,LK,2022-04-21 16:54:15,6.1241,81.1185,80.56,83,60,7.85
131,Kiyasovo,RU,2022-04-21 16:54:16,56.3491,53.1244,32.56,69,2,11.25
132,Arraial Do Cabo,BR,2022-04-21 16:54:16,-22.9661,-42.0278,80.56,69,20,9.22
133,Kholodnyy,RU,2022-04-21 16:54:17,62.7167,147.95,1.4,100,87,2.01
134,Mayo,US,2022-04-21 16:49:53,38.8876,-76.5119,67.21,57,0,16.11
135,Nandikotkur,IN,2022-04-21 16:54:17,15.8667,78.2667,89.55,36,67,14.38
136,Bethel,US,2022-04-21 16:55:18,41.3712,-73.414,60.35,47,99,13.0
137,Coueron,FR,2022-04-21 16:55:18,47.2151,-1.7217,69.75,43,0,5.75
138,Kupang,ID,2022-04-21 16:55:19,-10.1667,123.5833,78.67,85,18,7.87
139,Guarda,PT,2022-04-21 16:55:19,40.5373,-7.2658,50.23,55,99,12.39
140,Chuy,UY,2022-04-21 16:55:20,-33.6971,-53.4616,78.17,47,62,8.37
141,Kaitangata,NZ,2022-04-21 16:55:20,-46.2817,169.8464,46.74,93,100,13.62
142,Thinadhoo,MV,2022-04-21 16:55:20,0.5333,72.9333,84.97,71,24,9.98
143,Clyde River,CA,2022-04-21 16:55:21,70.4692,-68.5914,3.43,78,100,17.27
144,Sungaipenuh,ID,2022-04-21 16:55:21,-2.0833,101.3833,65.7,95,100,1.19
145,Vila Velha,BR,2022-04-21 16:55:22,-20.3297,-40.2925,82.35,69,20,13.8
146,Cidreira,BR,2022-04-21 16:55:22,-30.1811,-50.2056,73.85,61,45,3.83
147,Bam,IR,2022-04-21 16:55:23,29.106,58.357,80.49,11,64,2.59
148,Semey,KZ,2022-04-21 16:55:23,50.4111,80.2275,50.61,82,100,15.03
149,Marzuq,YE,2022-04-21 16:55:24,14.4,46.4667,73.0,46,0,8.08
150,Port Lincoln,AU,2022-04-21 16:55:24,-34.7333,135.8667,60.49,71,96,14.43
151,Carnarvon,AU,2022-04-21 16:55:24,-24.8667,113.6333,68.07,88,72,5.75
152,Tabou,CI,2022-04-21 16:55:25,4.423,-7.3528,82.6,80,92,7.96
153,Auray,FR,2022-04-21 16:55:25,47.6703,-2.9918,63.68,72,54,6.17
154,Mont-De-Marsan,FR,2022-04-21 16:55:25,44.0,-0.6667,57.61,94,75,8.05
155,Orhei,MD,2022-04-21 16:55:26,47.3831,28.8231,45.05,93,100,6.85
156,Casa Nova,BR,2022-04-21 16:55:27,-9.4167,-41.1333,90.46,36,21,11.45
157,Nanortalik,GL,2022-04-21 16:55:27,60.1432,-45.2371,39.51,66,100,24.92
158,Methoni,GR,2022-04-21 16:55:27,36.8197,21.7049,62.46,80,37,14.61
159,Lompoc,US,2022-04-21 16:55:28,34.6391,-120.4579,61.02,74,75,8.99
160,Waldoboro,US,2022-04-21 16:55:28,44.0954,-69.3756,52.56,50,78,12.19
161,Lavrentiya,RU,2022-04-21 16:55:29,65.5833,-171.0,14.61,89,13,6.08
162,Tommot,RU,2022-04-21 16:55:29,58.9564,126.2925,19.98,93,100,2.1
163,Sinnamary,GF,2022-04-21 16:55:30,5.3833,-52.95,80.85,80,85,6.02
164,Alma,CA,2022-04-21 16:55:30,48.5501,-71.6491,45.1,42,100,11.5
165,Pevek,RU,2022-04-21 16:55:30,69.7008,170.3133,8.49,96,72,7.87
166,Ilulissat,GL,2022-04-21 16:55:31,69.2167,-51.1,35.64,83,100,9.8
167,Poum,NC,2022-04-21 16:55:31,-20.2333,164.0167,76.48,75,62,11.99
168,Necochea,AR,2022-04-21 16:55:31,-38.5473,-58.7368,63.55,43,63,12.73
169,Vilhena,BR,2022-04-21 16:55:32,-12.7406,-60.1458,82.62,69,75,10.36
170,Panji,ID,2022-04-21 16:55:32,-7.7253,114.0995,74.68,88,93,4.5
171,San Jose,US,2022-04-21 16:54:07,37.3394,-121.895,60.94,74,75,8.05
172,Prince Albert,CA,2022-04-21 16:54:04,53.2001,-105.7677,33.75,69,75,4.61
173,Tazovskiy,RU,2022-04-21 16:55:33,67.4667,78.7,-2.6,100,93,5.91
174,Qorveh,IR,2022-04-21 16:55:34,35.1664,47.8045,56.71,36,9,6.55
175,Leningradskiy,RU,2022-04-21 16:55:34,69.3833,178.4167,10.22,91,99,2.53
176,Kununurra,AU,2022-04-21 16:55:35,-15.7667,128.7333,69.78,88,72,0.0
177,Rapid Valley,US,2022-04-21 16:55:35,44.0625,-103.1463,51.13,42,33,18.01
178,Pithoro,PK,2022-04-21 16:55:35,25.5167,69.3833,90.99,16,23,16.15
179,Vardo,NO,2022-04-21 16:55:36,70.3705,31.1107,37.38,87,75,9.22
180,Tateyama,JP,2022-04-21 16:55:36,34.9833,139.8667,65.1,88,75,14.97
181,Talara,PE,2022-04-21 16:55:37,-4.5772,-81.2719,81.36,57,0,21.85
182,Bow Island,CA,2022-04-21 16:56:37,49.8668,-111.3684,39.47,60,100,21.85
183,Ust-Nera,RU,2022-04-21 16:56:38,64.5667,143.2,7.65,99,89,2.26
184,Longyearbyen,SJ,2022-04-21 16:56:38,78.2186,15.6401,30.04,80,40,1.14
185,Ust-Maya,RU,2022-04-21 16:56:38,60.4167,134.5333,19.72,99,100,2.48
186,Mecca,SA,2022-04-21 16:56:39,21.4267,39.8261,87.73,39,1,6.51
187,Vicuna,CL,2022-04-21 16:56:40,-30.0319,-70.7081,81.77,30,0,7.34
